parameter_name,parameter_number,preset_name,parameter_value,mean,std
lfo_2_waveform,27,Bellomatism,0.0,0.0,0.0
lfo_1_rate,28,Bellomatism,0.0,0.0,0.0
lfo_2_rate,29,Bellomatism,0.3880000114440918,0.3880000114440918,0.03880000114440918
lfo_1_amount,30,Bellomatism,0.0,0.0,0.0
lfo_2_amount,31,Bellomatism,0.8600000143051147,0.8600000143051147,0.08600000143051148
lfo_1_destination,32,Bellomatism,0.0,0.0,0.0
lfo_2_destination,33,Bellomatism,0.7142857313156128,0.7142857313156128,0.07142857313156128
lfo_1_phase,34,Bellomatism,0.0,0.0,0.0
lfo_2_phase,35,Bellomatism,0.0,0.0,0.0
osc_2_fm,36,Bellomatism,0.0,0.0,0.0
osc_2_phase,37,Bellomatism,0.0,0.0,0.0
osc_2_pw,38,Bellomatism,0.0,0.0,0.0
osc_2_phase,39,Bellomatism,0.0,0.0,0.0
transpose,40,Bellomatism,0.7360000610351562,0.7360000610351562,0.07360000610351562
free_ad_attack,41,Bellomatism,0.4000000059604645,0.4000000059604645,0.04000000059604645
free_ad_decay,42,Bellomatism,0.3680000305175781,0.3680000305175781,0.03680000305175781
free_ad_amount,43,Bellomatism,1.0,1.0,0.1
free_ad_destination,44,Bellomatism,0.800000011920929,0.800000011920929,0.0800000011920929
lfo_1_sync,45,Bellomatism,0.0,0.0,0.0
lfo_1_keytrigger,46,Bellomatism,0.0,0.0,0.0
lfo_2_sync,47,Bellomatism,0.0,0.0,0.0
lfo_2_keytrigger,48,Bellomatism,0.0,0.0,0.0
portamento_amount,49,Bellomatism,0.0,0.0,0.0
portamento_mode,50,Bellomatism,0.0,0.0,0.0
voices,51,Bellomatism,1.0,1.0,0.1
velocity_volume,52,Bellomatism,0.9240000247955322,0.9240000247955322,0.09240000247955323
velocity_contour,53,Bellomatism,0.0,0.0,0.0
velocity_filter,54,Bellomatism,0.0,0.0,0.0
pitchwheel_cutoff,55,Bellomatism,0.25200000405311584,0.25200000405311584,0.025200000405311583
pitchwheel_pitch,56,Bellomatism,0.0,0.0,0.0
ringmodulation,57,Bellomatism,0.0,0.0,0.0
chorus_1_enable,58,Bellomatism,1.0,1.0,0.1
chorus_2_enable,59,Bellomatism,0.0,0.0,0.0
reverb_wet,60,Bellomatism,0.328000009059906,0.328000009059906,0.0328000009059906
reverb_decay,61,Bellomatism,0.3960000276565552,0.3960000276565552,0.03960000276565552
reverb_pre_delay,62,Bellomatism,0.1720000058412552,0.1720000058412552,0.01720000058412552
reverb_high_cut,63,Bellomatism,0.2720000147819519,0.2720000147819519,0.02720000147819519
reverb_low_cut,64,Bellomatism,1.0,1.0,0.1
osc_bitcrusher,65,Bellomatism,1.0,1.0,0.1
master_high_pass,66,Bellomatism,0.4480000138282776,0.4480000138282776,0.04480000138282776
master_detune,67,Bellomatism,0.0,0.0,0.0
vintage_noise,68,Bellomatism,0.0,0.0,0.0
panic,69,Bellomatism,0.0,0.0,0.0
midi_learn,70,Bellomatism,0.0,0.0,0.0
envelope_destination,71,Bellomatism,0.0,0.0,0.0
envelope_speed,72,Bellomatism,0.0,0.0,0.0
envelope_amount,73,Bellomatism,0.0,0.0,0.0
envelope_one_shot_mode,74,Bellomatism,0.0,0.0,0.0
envelope_fix_tempo,75,Bellomatism,0.0,0.0,0.0
envelope_reset,76,Bellomatism,0.0,0.0,0.0
filter_drive,77,Bellomatism,0.0,0.0,0.0
delay_wet,78,Bellomatism,0.0,0.0,0.0
delay_time,79,Bellomatism,0.5,0.5,0.05
delay_sync,80,Bellomatism,0.0,0.0,0.0
delay_x2_l,81,Bellomatism,0.0,0.0,0.0
delay_x2_r,82,Bellomatism,0.0,0.0,0.0
delay_high_shelf,83,Bellomatism,0.0,0.0,0.0
delay_low_shelf,84,Bellomatism,0.0,0.0,0.0
delay_feedback,85,Bellomatism,0.5,0.5,0.05
midi_clear,86,Bellomatism,0.0,0.0,0.0
midi_lock,87,Bellomatism,0.0,0.0,0.0
-,0,GatedPad,0.5,0.5,0.05
master_volume,1,GatedPad,0.20000000298023224,0.20000000298023224,0.020000000298023225
filter_type,2,GatedPad,0.5454545617103577,0.5454545617103577,0.05454545617103577
filter_cutoff,3,GatedPad,0.4240000247955322,0.4240000247955322,0.04240000247955322
filter_resonance,4,GatedPad,0.4960000216960907,0.4960000216960907,0.04960000216960907
fitler_keyfollow,5,GatedPad,0.0,0.0,0.0
filter_contour,6,GatedPad,0.0,0.0,0.0
filter_attack,7,GatedPad,0.6520000100135803,0.6520000100135803,0.06520000100135803
filter_decay,8,GatedPad,0.8160000443458557,0.8160000443458557,0.08160000443458557
filter_sustain,9,GatedPad,0.2160000056028366,0.2160000056028366,0.02160000056028366
filter_release,10,GatedPad,0.6680000424385071,0.6680000424385071,0.06680000424385071
amp_attack,11,GatedPad,0.5520000457763672,0.5520000457763672,0.05520000457763672
amp_decay,12,GatedPad,0.0,0.0,0.0
amp_sustain,13,GatedPad,1.0,1.0,0.1
amp_release,14,GatedPad,0.6160000562667847,0.6160000562667847,0.061600005626678465
osc_1_volume,15,GatedPad,0.800000011920929,0.800000011920929,0.0800000011920929
osc_2_volume,16,GatedPad,0.7320000529289246,0.7320000529289246,0.07320000529289246
osc_3_volume,17,GatedPad,0.3840000033378601,0.3840000033378601,0.03840000033378601
osc_mastertune,18,GatedPad,0.5,0.5,0.05
osc_1_tune,19,GatedPad,0.25,0.25,0.025
osc_2_tune,20,GatedPad,0.6600000262260437,0.6600000262260437,0.06600000262260437
osc_1_fine_tune,21,GatedPad,0.5840000510215759,0.5840000510215759,0.05840000510215759
osc_2_fine_tune,22,GatedPad,0.5920000076293945,0.5920000076293945,0.05920000076293945
osc_1_waveform,23,GatedPad,0.0,0.0,0.0
osc_1_waveform,24,GatedPad,0.0,0.0,0.0
osc_sync,25,GatedPad,1.0,1.0,0.1
lfo_1_waveform,26,GatedPad,0.3400000035762787,0.3400000035762787,0.03400000035762787
lfo_2_waveform,27,GatedPad,0.7480000257492065,0.7480000257492065,0.07480000257492066
lfo_1_rate,28,GatedPad,0.12800000607967377,0.12800000607967377,0.012800000607967377
lfo_2_rate,29,GatedPad,0.0,0.0,0.0
lfo_1_amount,30,GatedPad,0.7280000448226929,0.7280000448226929,0.07280000448226928
lfo_2_amount,31,GatedPad,0.8800000548362732,0.8800000548362732,0.08800000548362732
lfo_1_destination,32,GatedPad,0.1428571492433548,0.1428571492433548,0.01428571492433548
lfo_2_destination,33,GatedPad,0.7142857313156128,0.7142857313156128,0.07142857313156128
lfo_1_phase,34,GatedPad,0.0,0.0,0.0
lfo_2_phase,35,GatedPad,0.0,0.0,0.0
osc_2_fm,36,GatedPad,0.0,0.0,0.0
osc_2_phase,37,GatedPad,0.0,0.0,0.0
osc_2_pw,38,GatedPad,0.5,0.5,0.05
osc_2_phase,39,GatedPad,0.5,0.5,0.05
transpose,40,GatedPad,1.0,1.0,0.1
